LECROYWS3024,14476,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,22-Oct-2015 03:28:59,0                 
Time,Ampl
-0.0010000125,12.2167
-0.00099999253,12.2167
-0.00099997253,12.2167
-0.00099995253,12.2167
-0.00099993253,12.2167
-0.00099991253,12.2167
-0.00099989253,12.2167
-0.00099987253,12.2167
-0.00099985253,12.2167
-0.00099983253,12.2167
-0.00099981253,12.2167
-0.00099979253,12.05
-0.00099977253,12.05
-0.00099975253,12.2167
-0.00099973253,12.2167
-0.00099971253,12.2167
-0.00099969253,12.2167
-0.00099967253,12.2167
-0.00099965253,12.05
-0.00099963253,12.2167
-0.00099961253,12.05
-0.00099959253,12.2167
-0.00099957253,12.2167
-0.00099955253,12.2167
-0.00099953253,12.2167
-0.00099951253,12.05
-0.00099949253,12.2167
-0.00099947253,12.2167
-0.00099945253,12.2167
-0.00099943253,12.2167
-0.00099941253,12.2167
-0.00099939253,12.2167
-0.00099937253,12.2167
-0.00099935253,12.2167
-0.00099933253,12.2167
-0.00099931253,12.2167
-0.00099929253,12.2167
-0.00099927253,12.2167
-0.00099925253,12.2167
-0.00099923253,12.2167
-0.00099921253,12.2167
-0.00099919253,12.2167
-0.00099917253,12.2167
-0.00099915253,12.2167
-0.00099913253,12.2167
-0.00099911253,12.2167
-0.00099909253,12.2167
-0.00099907253,12.2167
-0.00099905253,12.05
-0.00099903253,12.2167
-0.00099901253,12.2167
-0.00099899253,12.2167
-0.00099897253,12.2167
-0.00099895253,12.2167
-0.00099893253,12.2167
-0.00099891253,12.2167
-0.00099889253,12.2167
-0.00099887253,12.2167
-0.00099885253,12.2167
-0.00099883253,12.2167
-0.00099881253,12.2167
-0.00099879253,12.05
-0.00099877253,12.2167
-0.00099875253,12.2167
-0.00099873253,12.2167
-0.00099871253,12.2167
-0.00099869253,12.2167
-0.00099867253,12.2167
-0.00099865253,12.2167
-0.00099863253,12.2167
-0.00099861253,12.2167
-0.00099859253,12.2167
-0.00099857253,12.2167
-0.00099855253,12.2167
-0.00099853253,12.2167
-0.00099851253,12.2167
-0.00099849253,12.2167
-0.00099847253,12.2167
-0.00099845253,12.2167
-0.00099843253,12.2167
-0.00099841253,12.2167
-0.00099839253,12.2167
-0.00099837253,12.2167
-0.00099835253,12.2167
-0.00099833253,12.2167
-0.00099831253,12.2167
-0.00099829253,12.2167
-0.00099827253,12.2167
-0.00099825253,12.2167
-0.00099823253,12.2167
-0.00099821253,12.2167
-0.00099819253,12.2167
-0.00099817253,12.2167
